collection_id,accuracy,data_size,n_heel_strike,n_foot_flat,n_heel_off,n_toe_off,label,precision,recall,f1-score,support
bK6UIKg2ySsmZZL7dRNf_11_R,0.9530516431924883,213,0,107,22,84,heel off,0.6875,1.0,0.8148148148148148,22.0
bK6UIKg2ySsmZZL7dRNf_11_R,0.9530516431924883,213,0,107,22,84,toe off,1.0,0.9642857142857143,0.9818181818181818,84.0
bK6UIKg2ySsmZZL7dRNf_12_L,0.9483568075117371,213,0,86,45,82,foot flat,0.8865979381443299,1.0,0.9398907103825137,86.0
bK6UIKg2ySsmZZL7dRNf_12_L,0.9483568075117371,213,0,86,45,82,heel off,1.0,0.7555555555555555,0.8607594936708861,45.0
bK6UIKg2ySsmZZL7dRNf_12_L,0.9483568075117371,213,0,86,45,82,toe off,1.0,1.0,1.0,82.0
bK6UIKg2ySsmZZL7dRNf_13_R,0.943127962085308,211,5,96,30,80,heel strike,0.0,0.0,0.0,5.0
bK6UIKg2ySsmZZL7dRNf_13_R,0.943127962085308,211,5,96,30,80,foot flat,0.9484536082474226,0.9583333333333334,0.9533678756476683,96.0
bK6UIKg2ySsmZZL7dRNf_13_R,0.943127962085308,211,5,96,30,80,heel off,0.8709677419354839,0.9,0.8852459016393442,30.0
bK6UIKg2ySsmZZL7dRNf_13_R,0.943127962085308,211,5,96,30,80,toe off,0.963855421686747,1.0,0.9815950920245399,80.0
bK6UIKg2ySsmZZL7dRNf_5_R,0.9575471698113207,212,0,98,23,91,foot flat,1.0,0.9285714285714286,0.9629629629629629,98.0
bK6UIKg2ySsmZZL7dRNf_5_R,0.9575471698113207,212,0,98,23,91,heel off,0.7931034482758621,1.0,0.8846153846153846,23.0
bK6UIKg2ySsmZZL7dRNf_5_R,0.9575471698113207,212,0,98,23,91,toe off,1.0,0.978021978021978,0.9888888888888889,91.0
bK6UIKg2ySsmZZL7dRNf_5_R,0.9575471698113207,212,0,98,23,91,micro avg,0.9712918660287081,0.9575471698113207,0.9643705463182898,212.0
bK6UIKg2ySsmZZL7dRNf_6_L,0.9808612440191388,209,0,96,28,85,foot flat,1.0,0.9583333333333334,0.9787234042553191,96.0
bK6UIKg2ySsmZZL7dRNf_6_L,0.9808612440191388,209,0,96,28,85,heel off,0.875,1.0,0.9333333333333333,28.0
bK6UIKg2ySsmZZL7dRNf_6_L,0.9808612440191388,209,0,96,28,85,toe off,1.0,1.0,1.0,85.0
bLqjkZpNjsuD1qEDCSH5_4_R,0.9428571428571428,210,7,82,31,90,heel strike,0.875,1.0,0.9333333333333333,7.0
bLqjkZpNjsuD1qEDCSH5_4_R,0.9428571428571428,210,7,82,31,90,foot flat,0.9759036144578314,0.9878048780487805,0.9818181818181818,82.0
bLqjkZpNjsuD1qEDCSH5_4_R,0.9428571428571428,210,7,82,31,90,heel off,0.7631578947368421,0.9354838709677419,0.8405797101449275,31.0
bLqjkZpNjsuD1qEDCSH5_4_R,0.9428571428571428,210,7,82,31,90,toe off,1.0,0.9,0.9473684210526315,90.0
bLqjkZpNjsuD1qEDCSH5_8_R,0.9170731707317074,205,5,70,43,87,heel strike,1.0,1.0,1.0,5.0
